Author,month.POSIXct,commits,insertions,deletions,full.name
luke,2003-12-01T07:00:00Z,3,1,1,Luke Tierney
luke,2003-11-01T07:00:00Z,6,41,21,Luke Tierney
luke,2003-10-01T07:00:00Z,5,88,24,Luke Tierney
luke,2003-09-01T07:00:00Z,43,751,101,Luke Tierney
luke,2003-08-01T07:00:00Z,6,1106,1313,Luke Tierney
luke,2003-07-01T07:00:00Z,49,1226,513,Luke Tierney
luke,2003-06-01T07:00:00Z,29,801,518,Luke Tierney
luke,2003-05-01T07:00:00Z,14,244,140,Luke Tierney
luke,2003-04-01T07:00:00Z,3,28,11,Luke Tierney
luke,2003-03-01T07:00:00Z,7,110,60,Luke Tierney
luke,2003-02-01T07:00:00Z,19,1131,114,Luke Tierney
luke,2003-01-01T07:00:00Z,2,8,1,Luke Tierney
luke,2002-12-01T07:00:00Z,2,1,1,Luke Tierney
luke,2002-10-01T07:00:00Z,1,1,1,Luke Tierney
luke,2002-08-01T07:00:00Z,1,0,0,Luke Tierney
luke,2002-07-01T07:00:00Z,4,58,7,Luke Tierney
luke,2002-05-01T07:00:00Z,2,28,11,Luke Tierney
luke,2002-04-01T07:00:00Z,8,1216,1331,Luke Tierney
luke,2002-03-01T07:00:00Z,11,68,23,Luke Tierney
luke,2002-02-01T07:00:00Z,3,3,2,Luke Tierney
luke,2002-01-01T07:00:00Z,8,82,61,Luke Tierney
luke,2001-12-01T07:00:00Z,24,667,402,Luke Tierney
luke,2001-11-01T07:00:00Z,29,236,253,Luke Tierney
luke,2001-10-01T07:00:00Z,37,2862,377,Luke Tierney
luke,2001-09-01T07:00:00Z,14,369,138,Luke Tierney
luke,2001-08-01T07:00:00Z,21,2493,893,Luke Tierney
luke,2001-07-01T07:00:00Z,24,335,351,Luke Tierney
luke,2001-06-01T07:00:00Z,15,386,115,Luke Tierney
luke,2001-05-01T07:00:00Z,3,93,73,Luke Tierney
luke,2001-04-01T07:00:00Z,1,0,0,Luke Tierney
luke,2001-03-01T07:00:00Z,2,6,6,Luke Tierney
luke,2001-01-01T07:00:00Z,2,7,7,Luke Tierney
luke,2000-12-01T07:00:00Z,5,196,102,Luke Tierney
luke,2000-11-01T07:00:00Z,7,338,46,Luke Tierney
luke,2000-10-01T07:00:00Z,28,459,298,Luke Tierney
luke,2000-09-01T07:00:00Z,7,137,41,Luke Tierney
luke,2000-08-01T07:00:00Z,30,12670,8052,Luke Tierney
luke,2000-07-01T07:00:00Z,3,34,9,Luke Tierney
luke,2000-06-01T07:00:00Z,24,3977,2324,Luke Tierney
luke,2000-05-01T07:00:00Z,4,31,6,Luke Tierney
luke,2000-04-01T07:00:00Z,8,121,113,Luke Tierney
